,Horsepower,Curb Weight,City MPG,Highway MPG,Combined MPG,Fuel Capacity,Drivetrain,Recommended Fuel,Car Model,Year,Model Full Name
0,190 @ 7000 RPM,3327 lbs.,21 mpg,31 mpg,25 mpg,18.5 gallons,FWD,Regular,honda/accord,2010,Honda Accord
1,177 @ 6500 RPM,3279 lbs.,23 mpg,34 mpg,27 mpg,18.5 gallons,FWD,Regular,honda/accord,2012,Honda Accord
2,185 @ 6200 RPM,3298 lbs.,27 mpg,36 mpg,30 mpg,17.2 gallons,FWD,Regular,honda/accord,2013,Honda Accord
3,185 @ 6400 RPM,3252 lbs.,26 mpg,34 mpg,29 mpg,17.2 gallons,FWD,Regular,honda/accord,2014,Honda Accord
4,185 @ 6400 RPM,3252 lbs.,26 mpg,35 mpg,29 mpg,17.2 gallons,FWD,Regular,honda/accord,2015,Honda Accord
5,185 @ 6400 RPM,3248 lbs.,26 mpg,35 mpg,30 mpg,17.2 gallons,FWD,Regular,honda/accord,2016,Honda Accord
6,185 @ 6400 RPM,3239 lbs.,27 mpg,36 mpg,30 mpg,17.2 gallons,FWD,Regular,honda/accord,2017,Honda Accord
7,192 @ 5500 RPM,3131 lbs.,30 mpg,38 mpg,33 mpg,14.8 gallons,FWD,Regular,honda/accord,2018,Honda Accord
8,192 @ 5500 RPM,3131 lbs.,30 mpg,38 mpg,33 mpg,14.8 gallons,FWD,Regular,honda/accord,2019,Honda Accord
9,192 @ 5500 RPM,3131 lbs.,30 mpg,38 mpg,33 mpg,14.8 gallons,FWD,Regular,honda/accord,2020,Honda Accord
10,192 @ 5500 RPM,3150 lbs.,30 mpg,38 mpg,33 mpg,14.8 gallons,FWD,Regular,honda/accord,2021,Honda Accord
11,192 @ 5500 RPM,3150 lbs.,30 mpg,38 mpg,33 mpg,14.8 gallons,FWD,Regular,honda/accord,2022,Honda Accord
12,192 @ 6000 RPM,3239 lbs.,29 mpg,37 mpg,32 mpg,14.8 gallons,FWD,Regular,honda/accord,2023,Honda Accord
13,192 @ 6000 RPM,3239 lbs.,29 mpg,37 mpg,32 mpg,14.8 gallons,FWD,Regular,honda/accord,2024,Honda Accord
14,175 @ 6000 RPM,3327 lbs.,22 mpg,32 mpg,25 mpg,17.7 gallons,FWD,Regular,hyundai/sonata,2010,Hyundai Sonata
15,,,34 mpg,39 mpg,36 mpg,17.2 gallons,FWD,Regular,hyundai/sonata,2011,Hyundai Sonata
16,,3457 lbs.,34 mpg,39 mpg,36 mpg,17.2 gallons,FWD,Regular,hyundai/sonata,2012,Hyundai Sonata
17,200 @ 6300 RPM,3316 lbs.,24 mpg,35 mpg,28 mpg,18.5 gallons,FWD,Regular,hyundai/sonata,2013,Hyundai Sonata
18,,,36 mpg,40 mpg,38 mpg,17.2 gallons,FWD,Regular,hyundai/sonata,2014,Hyundai Sonata
19,177 @ 5500 RPM,,28 mpg,38 mpg,32 mpg,18.5 gallons,FWD,Regular,hyundai/sonata,2015,Hyundai Sonata
20,178 @ 5500 RPM,3219 lbs.,28 mpg,38 mpg,32 mpg,18.5 gallons,FWD,Regular,hyundai/sonata,2016,Hyundai Sonata
21,185 @ 6000 RPM,3250 lbs.,25 mpg,36 mpg,29 mpg,18.5 gallons,FWD,Regular,hyundai/sonata,2017,Hyundai Sonata
22,185 @ 6000 RPM,3303 lbs.,25 mpg,35 mpg,28 mpg,18.5 gallons,FWD,Regular,hyundai/sonata,2018,Hyundai Sonata
23,185 @ 6000 RPM,3247 lbs.,26 mpg,35 mpg,29 mpg,18.5 gallons,FWD,Regular,hyundai/sonata,2019,Hyundai Sonata
24,191 @ 6100 RPM,3120 lbs.,28 mpg,38 mpg,32 mpg,18.5 gallons,FWD,Regular,hyundai/sonata,2020,Hyundai Sonata
25,191 @ 6100 RPM,3120 lbs.,28 mpg,38 mpg,32 mpg,14.8 gallons,FWD,Regular,hyundai/sonata,2021,Hyundai Sonata
26,191 @ 6100 RPM,3120 lbs.,28 mpg,38 mpg,32 mpg,14.8 gallons,FWD,Regular,hyundai/sonata,2022,Hyundai Sonata
27,191 @ 6100 RPM,3120 lbs.,28 mpg,38 mpg,32 mpg,14.8 gallons,FWD,Regular,hyundai/sonata,2023,Hyundai Sonata
28,191 @ 6100 RPM,3305 lbs.,25 mpg,36 mpg,29 mpg,15.9 gallons,FWD,Regular,hyundai/sonata,2024,Hyundai Sonata
29,175 @ 6000 RPM,3179 lbs.,22 mpg,32 mpg,25 mpg,16.4 gallons,FWD,Regular,kia/optima,2010,Kia Optima
30,200 @ 6300 RPM,3223 lbs.,24 mpg,34 mpg,27 mpg,18.5 gallons,FWD,Regular,kia/optima,2011,Kia Optima
31,,3490 lbs.,34 mpg,39 mpg,36 mpg,17.2 gallons,FWD,Regular,kia/optima,2012,Kia Optima
32,,3622 lbs.,35 mpg,39 mpg,37 mpg,17.2 gallons,FWD,Regular,kia/optima,2013,Kia Optima
33,,3496 lbs.,36 mpg,40 mpg,38 mpg,17.2 gallons,FWD,Regular,kia/optima,2014,Kia Optima
34,192 @ 6300 RPM,3237 lbs.,23 mpg,34 mpg,27 mpg,18.5 gallons,FWD,Regular,kia/optima,2015,Kia Optima
35,178 @ 5500 RPM,3224 lbs.,28 mpg,39 mpg,32 mpg,18.5 gallons,FWD,Regular,kia/optima,2016,Kia Optima
36,185 @ 6000 RPM,3219 lbs.,24 mpg,34 mpg,28 mpg,18.5 gallons,FWD,Regular,kia/optima,2017,Kia Optima
37,185 @ 6000 RPM,3219 lbs.,24 mpg,34 mpg,28 mpg,18.5 gallons,FWD,Regular,kia/optima,2018,Kia Optima
38,185 @ 6000 RPM,3230 lbs.,24 mpg,33 mpg,27 mpg,18.5 gallons,FWD,Regular,kia/optima,2019,Kia Optima
39,185 @ 6000 RPM,3230 lbs.,24 mpg,32 mpg,27 mpg,18.5 gallons,FWD,Regular,kia/optima,2020,Kia Optima
40,170 @ 6000 RPM,3309 lbs.,21 mpg,30 mpg,24 mpg,18.5 gallons,FWD,Regular,mazda/mazda6,2010,Mazda Mazda6
41,170 @ 6000 RPM,3329 lbs.,22 mpg,31 mpg,25 mpg,18.5 gallons,FWD,Regular,mazda/mazda6,2011,Mazda Mazda6
42,170 @ 6000 RPM,3329 lbs.,22 mpg,31 mpg,25 mpg,18.5 gallons,FWD,Regular,mazda/mazda6,2012,Mazda Mazda6
43,170 @ 6000 RPM,3323 lbs.,21 mpg,30 mpg,25 mpg,18.5 gallons,FWD,Regular,mazda/mazda6,2013,Mazda Mazda6
44,184 @ 5700 RPM,3232 lbs.,26 mpg,38 mpg,30 mpg,16.4 gallons,FWD,Regular,mazda/mazda6,2014,Mazda Mazda6
45,184 @ 5700 RPM,3232 lbs.,26 mpg,38 mpg,30 mpg,16.4 gallons,FWD,Regular,mazda/mazda6,2015,Mazda Mazda6
46,184 @ 5700 RPM,3250 lbs.,26 mpg,38 mpg,30 mpg,16.4 gallons,FWD,Regular,mazda/mazda6,2016,Mazda Mazda6
47,184 @ 5700 RPM,3305 lbs.,26 mpg,35 mpg,29 mpg,16.4 gallons,FWD,Regular,mazda/mazda6,2017,Mazda Mazda6
48,187 @ 6000 RPM,3427 lbs.,26 mpg,35 mpg,29 mpg,16.4 gallons,FWD,Regular,mazda/mazda6,2018,Mazda Mazda6
49,187 @ 6000 RPM,3433 lbs.,26 mpg,35 mpg,29 mpg,16.4 gallons,FWD,Regular,mazda/mazda6,2019,Mazda Mazda6
50,187 @ 6000 RPM,3433 lbs.,26 mpg,35 mpg,29 mpg,16.4 gallons,FWD,Regular,mazda/mazda6,2020,Mazda Mazda6
51,187 @ 6000 RPM,3437 lbs.,26 mpg,35 mpg,29 mpg,16.4 gallons,FWD,Regular,mazda/mazda6,2021,Mazda Mazda6
52,169 @ 6000 RPM,3307 lbs.,22 mpg,32 mpg,26 mpg,18.5 gallons,FWD,Regular,toyota/camry,2010,Toyota Camry
53,179 @ 6000 RPM,3351 lbs.,22 mpg,32 mpg,26 mpg,18.5 gallons,FWD,Regular,toyota/camry,2011,Toyota Camry
54,178 @ 6000 RPM,3240 lbs.,25 mpg,35 mpg,28 mpg,17.0 gallons,FWD,Regular,toyota/camry,2012,Toyota Camry
55,,3417 lbs.,43 mpg,39 mpg,41 mpg,17.0 gallons,FWD,Regular,toyota/camry,2013,Toyota Camry
56,178 @ 6000 RPM,3240 lbs.,25 mpg,35 mpg,28 mpg,17.0 gallons,FWD,Regular,toyota/camry,2014,Toyota Camry
57,178 @ 6000 RPM,3240 lbs.,25 mpg,35 mpg,28 mpg,17.0 gallons,FWD,Regular,toyota/camry,2015,Toyota Camry
58,178 @ 6000 RPM,3240 lbs.,25 mpg,35 mpg,28 mpg,17.0 gallons,FWD,Regular,toyota/camry,2016,Toyota Camry
59,178 @ 6000 RPM,3245 lbs.,24 mpg,33 mpg,27 mpg,17.0 gallons,FWD,Regular,toyota/camry,2017,Toyota Camry
60,203 @ 6600 RPM,3296 lbs.,28 mpg,39 mpg,32 mpg,16.0 gallons,FWD,Regular,toyota/camry,2018,Toyota Camry
61,203 @ 6600 RPM,3296 lbs.,28 mpg,39 mpg,32 mpg,16.0 gallons,FWD,Regular,toyota/camry,2019,Toyota Camry
62,203 @ 6600 RPM,3296 lbs.,28 mpg,39 mpg,32 mpg,15.8 gallons,FWD,Regular,toyota/camry,2020,Toyota Camry
63,203 @ 6600 RPM,3310 lbs.,28 mpg,39 mpg,32 mpg,15.8 gallons,FWD,Regular,toyota/camry,2021,Toyota Camry
64,203 @ 6600 RPM,3310 lbs.,28 mpg,39 mpg,32 mpg,15.8 gallons,FWD,Regular,toyota/camry,2022,Toyota Camry
65,203 @ 6800 RPM,3310 lbs.,28 mpg,39 mpg,32 mpg,15.8 gallons,FWD,Regular,toyota/camry,2023,Toyota Camry
66,206 @ 6800 RPM,3310 lbs.,28 mpg,39 mpg,32 mpg,15.8 gallons,FWD,Regular,toyota/camry,2024,Toyota Camry
67,169 @ 6400 RPM,3415 lbs.,22 mpg,30 mpg,25 mpg,16.0 gallons,FWD,Regular,chevrolet/malibu,2010,Chevrolet Malibu
68,169 @ 6400 RPM,,22 mpg,33 mpg,26 mpg,16.0 gallons,FWD,Regular,chevrolet/malibu,2011,Chevrolet Malibu
69,169 @ 6400 RPM,3432 lbs.,22 mpg,33 mpg,26 mpg,16.0 gallons,FWD,Regular,chevrolet/malibu,2012,Chevrolet Malibu
70,182 @ 6200 RPM,,25 mpg,37 mpg,29 mpg,15.8 gallons,FWD,Regular,chevrolet/malibu,2013,Chevrolet Malibu
71,196 @ 6300 RPM,,25 mpg,36 mpg,29 mpg,15.8 gallons,FWD,Regular,chevrolet/malibu,2014,Chevrolet Malibu
72,196 @ 6300 RPM,3393 lbs.,25 mpg,36 mpg,29 mpg,15.8 gallons,FWD,Regular,chevrolet/malibu,2015,Chevrolet Malibu
73,160 @ 5600 RPM,3086 lbs.,27 mpg,37 mpg,31 mpg,13.0 gallons,FWD,Regular,chevrolet/malibu,2016,Chevrolet Malibu
74,160 @ 5700 RPM,,27 mpg,36 mpg,30 mpg,13.0 gallons,FWD,Regular,chevrolet/malibu,2017,Chevrolet Malibu
75,163 @ 5700 RPM,3108 lbs.,27 mpg,36 mpg,30 mpg,15.8 gallons,FWD,Regular,chevrolet/malibu,2018,Chevrolet Malibu
76,163 @ 5700 RPM,,29 mpg,36 mpg,32 mpg,15.8 gallons,FWD,Regular,chevrolet/malibu,2019,Chevrolet Malibu
77,163 @ 5700 RPM,,29 mpg,36 mpg,32 mpg,15.8 gallons,FWD,Regular,chevrolet/malibu,2020,Chevrolet Malibu
78,163 @ 5700 RPM,,29 mpg,36 mpg,32 mpg,15.8 gallons,FWD,Regular,chevrolet/malibu,2021,Chevrolet Malibu
79,163 @ 5700 RPM,,29 mpg,36 mpg,32 mpg,15.8 gallons,FWD,Regular,chevrolet/malibu,2022,Chevrolet Malibu
80,163 @ 5700 RPM,,27 mpg,35 mpg,30 mpg,15.8 gallons,FWD,Regular,chevrolet/malibu,2023,Chevrolet Malibu
81,163 @ 5700 RPM,,28 mpg,36 mpg,31 mpg,15.8 gallons,FWD,Regular,chevrolet/malibu,2024,Chevrolet Malibu
82,,3720 lbs.,41 mpg,36 mpg,39 mpg,17.5 gallons,FWD,Regular,ford/fusion,2010,Ford Fusion
83,,3720 lbs.,41 mpg,36 mpg,39 mpg,17.5 gallons,FWD,Regular,ford/fusion,2011,Ford Fusion
84,175 @ 6000 RPM,3285 lbs.,23 mpg,33 mpg,26 mpg,17.5 gallons,FWD,Regular,ford/fusion,2012,Ford Fusion
85,170 hp,3427 lbs.,22 mpg,34 mpg,26 mpg,16.5 gallons,FWD,Regular,ford/fusion,2013,Ford Fusion
86,,,43 mpg,39 mpg,41 mpg,13.5 gallons,FWD,Regular,ford/fusion,2014,Ford Fusion
87,175 @ 6000 RPM,3431 lbs.,22 mpg,34 mpg,26 mpg,16.5 gallons,FWD,Regular,ford/fusion,2015,Ford Fusion
88,,3615 lbs.,44 mpg,41 mpg,42 mpg,13.5 gallons,FWD,Regular,ford/fusion,2016,Ford Fusion
89,,3668 lbs.,43 mpg,41 mpg,42 mpg,13.5 gallons,FWD,Regular,ford/fusion,2017,Ford Fusion
90,175 @ 6000 RPM,3448 lbs.,21 mpg,32 mpg,25 mpg,16.5 gallons,FWD,Regular,ford/fusion,2018,Ford Fusion
91,175 @ 6000 RPM,3410 lbs.,21 mpg,31 mpg,25 mpg,16.5 gallons,FWD,Regular,ford/fusion,2019,Ford Fusion
92,175 @ 6000 RPM,3472 lbs.,21 mpg,31 mpg,24 mpg,16.5 gallons,FWD,Regular,ford/fusion,2020,Ford Fusion
93,170 @ 5600 RPM,3270 lbs.,23 mpg,31 mpg,26 mpg,18.5 gallons,AWD,Regular,subaru/legacy,2010,Subaru Legacy
94,170 @ 5600 RPM,3270 lbs.,23 mpg,31 mpg,26 mpg,18.5 gallons,AWD,Regular,subaru/legacy,2011,Subaru Legacy
95,170 @ 5600 RPM,3357 lbs.,23 mpg,31 mpg,26 mpg,18.5 gallons,AWD,Regular,subaru/legacy,2012,Subaru Legacy
96,173 @ 5600 RPM,3392 lbs.,24 mpg,32 mpg,27 mpg,18.5 gallons,AWD,Regular,subaru/legacy,2013,Subaru Legacy
97,173 @ 5600 RPM,3388 lbs.,24 mpg,32 mpg,27 mpg,18.5 gallons,AWD,Regular,subaru/legacy,2014,Subaru Legacy
98,175 @ 5800 RPM,3468 lbs.,26 mpg,36 mpg,30 mpg,18.5 gallons,AWD,Regular,subaru/legacy,2015,Subaru Legacy
99,175 @ 5800 RPM,3468 lbs.,26 mpg,36 mpg,30 mpg,18.5 gallons,AWD,Regular,subaru/legacy,2016,Subaru Legacy
100,175 @ 5800 RPM,3459 lbs.,25 mpg,34 mpg,29 mpg,18.5 gallons,AWD,Regular,subaru/legacy,2017,Subaru Legacy
101,175 @ 5800 RPM,3470 lbs.,25 mpg,34 mpg,29 mpg,18.5 gallons,AWD,Regular,subaru/legacy,2018,Subaru Legacy
102,,3516 lbs.,25 mpg,34 mpg,29 mpg,18.5 gallons,AWD,Regular,subaru/legacy,2019,Subaru Legacy
103,182 @ 5800 RPM,3499 lbs.,27 mpg,35 mpg,30 mpg,18.5 gallons,AWD,Regular,subaru/legacy,2020,Subaru Legacy
104,182 @ 5800 RPM,3500 lbs.,27 mpg,35 mpg,30 mpg,18.5 gallons,AWD,Regular,subaru/legacy,2021,Subaru Legacy
105,182 @ 5800 RPM,3489 lbs.,27 mpg,35 mpg,30 mpg,18.5 gallons,AWD,Regular,subaru/legacy,2022,Subaru Legacy
106,182 @ 5800 RPM,,27 mpg,35 mpg,30 mpg,,AWD,Regular,subaru/legacy,2023,Subaru Legacy
107,200 @ 6000 RPM,3331 lbs.,22 mpg,31 mpg,25 mpg,18.5 gallons,FWD,Premium,volkswagen/passat,2010,Volkswagen Passat
108,,3221 lbs.,22 mpg,31 mpg,25 mpg,18.5 gallons,FWD,Regular,volkswagen/passat,2012,Volkswagen Passat
109,170 @ 5700 RPM,,22 mpg,31 mpg,25 mpg,18.5 gallons,FWD,Regular,volkswagen/passat,2013,Volkswagen Passat
110,170 @ 4800 RPM,3230 lbs.,24 mpg,34 mpg,28 mpg,18.5 gallons,FWD,Regular,volkswagen/passat,2014,Volkswagen Passat
111,170 @ 4800 RPM,3230 lbs.,24 mpg,36 mpg,28 mpg,18.5 gallons,FWD,Regular,volkswagen/passat,2015,Volkswagen Passat
112,170 @ 6200 RPM,3263 lbs.,25 mpg,38 mpg,29 mpg,18.5 gallons,FWD,Regular,volkswagen/passat,2016,Volkswagen Passat
113,170 @ 6200 RPM,3263 lbs.,23 mpg,34 mpg,27 mpg,18.5 gallons,FWD,Regular,volkswagen/passat,2017,Volkswagen Passat
114,184 @ 5000 RPM,3274 lbs.,25 mpg,36 mpg,29 mpg,18.5 gallons,FWD,Regular,volkswagen/passat,2018,Volkswagen Passat
115,174 @ 5000 RPM,3285 lbs.,25 mpg,36 mpg,29 mpg,18.5 gallons,FWD,Regular,volkswagen/passat,2019,Volkswagen Passat
116,174 @ 5200 RPM,3325 lbs.,23 mpg,34 mpg,27 mpg,18.5 gallons,FWD,Regular,volkswagen/passat,2020,Volkswagen Passat
117,174 @ 5000 RPM,3314 lbs.,24 mpg,36 mpg,28 mpg,18.5 gallons,FWD,Regular,volkswagen/passat,2021,Volkswagen Passat
118,174 @ 5000 RPM,3369 lbs.,24 mpg,36 mpg,28 mpg,18.5 gallons,FWD,Regular,volkswagen/passat,2022,Volkswagen Passat
119,175 @ 5600 RPM,3180 lbs.,23 mpg,32 mpg,27 mpg,20.0 gallons,FWD,Regular,nissan/altima,2010,Nissan Altima
120,175 @ 5600 RPM,3192 lbs.,23 mpg,32 mpg,27 mpg,20.0 gallons,FWD,Regular,nissan/altima,2011,Nissan Altima
121,175 @ 5600 RPM,3192 lbs.,23 mpg,32 mpg,27 mpg,20.0 gallons,FWD,Regular,nissan/altima,2012,Nissan Altima
122,182 @ 6000 RPM,3108 lbs.,27 mpg,38 mpg,31 mpg,18.0 gallons,FWD,Regular,nissan/altima,2013,Nissan Altima
123,182 @ 6000 RPM,3193 lbs.,27 mpg,38 mpg,31 mpg,18.0 gallons,FWD,Regular,nissan/altima,2014,Nissan Altima
124,182 @ 6000 RPM,3193 lbs.,27 mpg,38 mpg,31 mpg,18.0 gallons,FWD,Regular,nissan/altima,2015,Nissan Altima
125,182 @ 6000 RPM,3212 lbs.,27 mpg,39 mpg,31 mpg,18.0 gallons,FWD,Regular,nissan/altima,2016,Nissan Altima
126,179 @ 6000 RPM,3212 lbs.,27 mpg,39 mpg,31 mpg,18.0 gallons,FWD,Regular,nissan/altima,2017,Nissan Altima
127,179 @ 6000 RPM,3212 lbs.,27 mpg,38 mpg,31 mpg,18.0 gallons,FWD,Regular,nissan/altima,2018,Nissan Altima
128,188 @ 6000 RPM,3212 lbs.,28 mpg,39 mpg,32 mpg,16.2 gallons,FWD,Regular,nissan/altima,2019,Nissan Altima
129,188 @ 6000 RPM,3208 lbs.,28 mpg,39 mpg,32 mpg,16.2 gallons,FWD,Regular,nissan/altima,2020,Nissan Altima
130,188 @ 6000 RPM,3207 lbs.,28 mpg,39 mpg,32 mpg,16.2 gallons,FWD,Regular,nissan/altima,2021,Nissan Altima
131,182 @ 6000 RPM,3244 lbs.,28 mpg,39 mpg,32 mpg,16.2 gallons,FWD,Regular,nissan/altima,2022,Nissan Altima
132,182 @ 6000 RPM,3244 lbs.,27 mpg,39 mpg,32 mpg,16.2 gallons,FWD,Regular,nissan/altima,2023,Nissan Altima
133,188 @ 6000 RPM,3253 lbs.,27 mpg,39 mpg,32 mpg,16.2 gallons,FWD,Regular,nissan/altima,2024,Nissan Altima
134,173 @ 6000 RPM,3389 lbs.,21 mpg,30 mpg,24 mpg,16.9 gallons,FWD,Regular,chrysler/200,2011,Chrysler 200
135,173 @ 6000 RPM,3898 lbs.,18 mpg,29 mpg,22 mpg,16.9 gallons,FWD,Regular,chrysler/200,2012,Chrysler 200
136,173 @ 6000 RPM,3402 lbs.,21 mpg,29 mpg,24 mpg,16.9 gallons,FWD,Regular,chrysler/200,2013,Chrysler 200
137,173 @ 6000 RPM,3402 lbs.,21 mpg,30 mpg,24 mpg,16.9 gallons,FWD,Regular,chrysler/200,2014,Chrysler 200
138,184 @ 6250 RPM,3473 lbs.,23 mpg,36 mpg,28 mpg,15.8 gallons,FWD,Regular,chrysler/200,2015,Chrysler 200
139,184 @ 6250 RPM,3473 lbs.,23 mpg,36 mpg,28 mpg,15.8 gallons,FWD,Regular,chrysler/200,2016,Chrysler 200
140,184 @ 6250 RPM,3473 lbs.,23 mpg,36 mpg,27 mpg,15.8 gallons,FWD,Regular,chrysler/200,2017,Chrysler 200
141,,4052 lbs.,44 mpg,40 mpg,42 mpg,7.0 gallons,FWD,Regular,honda/clarity-plug-in-hybrid,2018,Honda Clarity-plug-in-hybrid
142,,4052 lbs.,44 mpg,40 mpg,42 mpg,7.0 gallons,FWD,Regular,honda/clarity-plug-in-hybrid,2019,Honda Clarity-plug-in-hybrid
143,,4059 lbs.,,,42 mpg,7.0 gallons,FWD,Regular,honda/clarity-plug-in-hybrid,2020,Honda Clarity-plug-in-hybrid
144,,4052 lbs.,,,42 mpg,7.0 gallons,FWD,Regular,honda/clarity-plug-in-hybrid,2021,Honda Clarity-plug-in-hybrid
145,180 @ 5500 RPM,3115 lbs.,29 mpg,38 mpg,32 mpg,14.8 gallons,FWD,Regular,kia/k5,2021,Kia K5
146,180 @ 5500 RPM,3148 lbs.,27 mpg,37 mpg,31 mpg,15.8 gallons,FWD,Regular,kia/k5,2022,Kia K5
147,180 @ 5500 RPM,3148 lbs.,27 mpg,37 mpg,31 mpg,15.8 gallons,FWD,Regular,kia/k5,2023,Kia K5
148,180 @ 5500 RPM,3148 lbs.,27 mpg,37 mpg,31 mpg,15.8 gallons,FWD,Regular,kia/k5,2024,Kia K5
149,,4250 lbs.,42 mpg,41 mpg,41 mpg,14.5 gallons,AWD,Regular,toyota/crown,2023,Toyota Crown
150,,3980 lbs.,42 mpg,41 mpg,41 mpg,14.5 gallons,AWD,Regular,toyota/crown,2024,Toyota Crown
151,211 @ 5800 RPM,3555 lbs.,18 mpg,29 mpg,22 mpg,17.0 gallons,FWD,Regular,chevrolet/impala,2010,Chevrolet Impala
152,211 @ 5800 RPM,3555 lbs.,19 mpg,29 mpg,23 mpg,17.0 gallons,FWD,Regular,chevrolet/impala,2011,Chevrolet Impala
153,302 @ 6800 RPM,3555 lbs.,18 mpg,30 mpg,22 mpg,17.0 gallons,FWD,Regular,chevrolet/impala,2012,Chevrolet Impala
154,303 @ 6800 RPM,3555 lbs.,18 mpg,29 mpg,22 mpg,17.5 gallons,FWD,Regular,chevrolet/impala,2013,Chevrolet Impala
155,195 hp,,21 mpg,31 mpg,25 mpg,18.5 gallons,FWD,Regular,chevrolet/impala,2014,Chevrolet Impala
156,196 @ 6300 RPM,,22 mpg,31 mpg,25 mpg,18.5 gallons,FWD,Regular,chevrolet/impala,2015,Chevrolet Impala
157,196 @ 6300 RPM,,22 mpg,31 mpg,25 mpg,18.5 gallons,FWD,Regular,chevrolet/impala,2016,Chevrolet Impala
158,196 @ 6300 RPM,,22 mpg,30 mpg,25 mpg,18.5 gallons,FWD,Regular,chevrolet/impala,2017,Chevrolet Impala
159,305 @ 6800 RPM,,18 mpg,28 mpg,22 mpg,18.5 gallons,FWD,Regular,chevrolet/impala,2018,Chevrolet Impala
160,197 @ 6300 RPM,,22 mpg,29 mpg,25 mpg,18.5 gallons,FWD,Regular,chevrolet/impala,2019,Chevrolet Impala
161,305 @ 6800 RPM,,19 mpg,28 mpg,22 mpg,18.5 gallons,FWD,Regular,chevrolet/impala,2020,Chevrolet Impala
162,368 @ 6500 RPM,4120 lbs.,17 mpg,25 mpg,19 mpg,20.3 gallons,RWD,Regular,hyundai/genesis,2010,Hyundai Genesis
163,290 @ 6200 RPM,3748 lbs.,18 mpg,27 mpg,21 mpg,19.3 gallons,RWD,Regular,hyundai/genesis,2011,Hyundai Genesis
164,333 @ 6400 RPM,3824 lbs.,18 mpg,28 mpg,22 mpg,19.3 gallons,RWD,Regular,hyundai/genesis,2012,Hyundai Genesis
165,333 @ 6400 RPM,3824 lbs.,18 mpg,28 mpg,22 mpg,19.3 gallons,RWD,Regular,hyundai/genesis,2013,Hyundai Genesis
166,333 @ 6400 RPM,4019 lbs.,18 mpg,27 mpg,21 mpg,19.3 gallons,RWD,Regular,hyundai/genesis,2014,Hyundai Genesis
167,311 @ 6000 RPM,,18 mpg,29 mpg,22 mpg,20.3 gallons,RWD,Regular,hyundai/genesis,2015,Hyundai Genesis
168,311 @ 6000 RPM,4138 lbs.,18 mpg,29 mpg,22 mpg,20.3 gallons,RWD,Regular,hyundai/genesis,2016,Hyundai Genesis
169,415 @ 5900 RPM,3975 lbs.,14 mpg,21 mpg,17 mpg,18.8 gallons,RWD,Premium,chevrolet/ss,2014,Chevrolet Ss
170,415 @ 5900 RPM,3975 lbs.,14 mpg,21 mpg,17 mpg,18.8 gallons,RWD,Premium,chevrolet/ss,2015,Chevrolet Ss
171,415 @ 5900 RPM,3997 lbs.,14 mpg,20 mpg,16 mpg,18.8 gallons,RWD,Premium,chevrolet/ss,2016,Chevrolet Ss
172,415 @ 5900 RPM,3997 lbs.,14 mpg,22 mpg,16 mpg,18.8 gallons,RWD,Premium,chevrolet/ss,2017,Chevrolet Ss
173,250 @ 6400 RPM,,17 mpg,25 mpg,20 mpg,19.0 gallons,RWD,Regular,chrysler/300,2010,Chrysler 300
174,292 @ 6350 RPM,3961 lbs.,18 mpg,27 mpg,21 mpg,19.1 gallons,RWD,Regular,chrysler/300,2011,Chrysler 300
175,292 @ 6350 RPM,4029 lbs.,19 mpg,31 mpg,23 mpg,19.5 gallons,RWD,Regular,chrysler/300,2012,Chrysler 300
176,292 @ 6350 RPM,3999 lbs.,19 mpg,31 mpg,23 mpg,19.5 gallons,RWD,Regular,chrysler/300,2013,Chrysler 300
177,292 @ 6350 RPM,3999 lbs.,19 mpg,31 mpg,23 mpg,19.5 gallons,RWD,Regular,chrysler/300,2014,Chrysler 300
178,292 @ 6350 RPM,4029 lbs.,19 mpg,31 mpg,23 mpg,18.5 gallons,RWD,Regular,chrysler/300,2015,Chrysler 300
179,292 @ 6350 RPM,3992 lbs.,19 mpg,31 mpg,23 mpg,18.5 gallons,RWD,Regular,chrysler/300,2016,Chrysler 300
180,300 @ 6350 RPM,4013 lbs.,19 mpg,31 mpg,23 mpg,18.5 gallons,RWD,Regular,chrysler/300,2017,Chrysler 300
181,292 @ 6350 RPM,4013 lbs.,19 mpg,30 mpg,23 mpg,18.5 gallons,RWD,Regular,chrysler/300,2018,Chrysler 300
182,292 @ 6350 RPM,4013 lbs.,19 mpg,30 mpg,23 mpg,18.5 gallons,RWD,Regular,chrysler/300,2019,Chrysler 300
183,292 @ 6350 RPM,4013 lbs.,19 mpg,30 mpg,23 mpg,18.5 gallons,RWD,Regular,chrysler/300,2020,Chrysler 300
184,292 @ 6350 RPM,4013 lbs.,19 mpg,30 mpg,23 mpg,18.5 gallons,RWD,Regular,chrysler/300,2021,Chrysler 300
185,292 @ 6350 RPM,4013 lbs.,19 mpg,30 mpg,23 mpg,18.5 gallons,RWD,Regular,chrysler/300,2022,Chrysler 300
186,268 @ 6200 RPM,3505 lbs.,19 mpg,28 mpg,23 mpg,18.5 gallons,FWD,Regular,toyota/avalon,2010,Toyota Avalon
187,268 @ 6200 RPM,3616 lbs.,20 mpg,29 mpg,23 mpg,18.5 gallons,FWD,Regular,toyota/avalon,2011,Toyota Avalon
